symbol_id,display_label,priority_tier,current_pos,corrected_pos,phrase_pos,rationale
all_done,All done,1,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
help_me,Help me,1,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
i_need_a_break,I need a break,1,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
i_need_the_bathroom,I need the bathroom,1,location/preposition,phrase,verb/action,phrase type: POS location/preposition→phrase; phrase_pos=verb/action
i_want_water,I want water,1,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
space,Space,1,word,noun,,reclassify from word: concrete noun
thank_you,Thank You,1,word,phrase,word,phrase type: POS word→phrase; phrase_pos=word
too_loud,Too loud,1,phrase,phrase,descriptor/adjective,already phrase POS; adding phrase_pos=descriptor/adjective
help_me_im_frustrated,Help me / I'm frustrated,2,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
hi_hello,Hi / Hello,2,phrase,phrase,word,already phrase POS; adding phrase_pos=word
i_am_tired,I am tired,2,descriptor/adjective,phrase,descriptor/adjective,phrase type: POS descriptor/adjective→phrase; phrase_pos=descriptor/adjective
i_dont_want_that,I don't want that,2,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
i_found_something,I found something,2,location/preposition,phrase,verb/action,phrase type: POS location/preposition→phrase; phrase_pos=verb/action
i_like_this,I like this,2,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
i_need_help,I need help,2,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
i_need_help_stop,I need help / stop,2,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
i_want_a_jacket,I want a jacket,2,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
i_want_apple,I want apple,2,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
i_want_food,I want food,2,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
im_frustrated,I’m frustrated,2,pronoun/person,phrase,descriptor/adjective,phrase type: POS pronoun/person→phrase; phrase_pos=descriptor/adjective
look_at_me,Look at me,2,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
my_turn,My turn,2,verb/action,phrase,noun,phrase type: POS verb/action→phrase; phrase_pos=noun
no_i_dont_want_that,No / I don’t want that,2,verb/action,phrase,negation/repair,phrase type: POS verb/action→phrase; phrase_pos=negation/repair
okfine,OK/Fine,2,location/preposition,phrase,word,phrase type: POS location/preposition→phrase; phrase_pos=word
one_more_minute,One more minute,2,verb/action,phrase,noun,phrase type: POS verb/action→phrase; phrase_pos=noun
play_doh,Play doh,2,verb/action,noun,,"compound noun, not phrase: type phrase→word, is_phrase→false; POS verb/action→noun"
thats_funny,That’s funny,2,pronoun/person,phrase,descriptor/adjective,phrase type: POS pronoun/person→phrase; phrase_pos=descriptor/adjective
ticklesqueeze,Tickle/squeeze,2,verb/action,phrase,verb/action,phrase type: POS verb/action→phrase; phrase_pos=verb/action
