canonical_term,tier,type,current_category,part_of_speech,phrase_pos,ui_tab,bucket,proposed_category,rationale,secondary_tabs,approved
all done,Tier 1 - Phase I MVP,phrase,Actions,phrase,verb/action,core,override,Actions,category='Actions' default_tab='actions' but current ui_tab='core',actions,y
aren't,Tier 1 - Phase I MVP,word,Negation/Repair,negation/repair,,more,override,Negation/Repair,category='Negation/Repair' default_tab='core' but current ui_tab='more',,y
bad,Tier 1 - Phase I MVP,word,Social,descriptor/adjective,,feelings,error,Feelings,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,y
can't,Tier 1 - Phase I MVP,word,Negation/Repair,negation/repair,,more,override,Negation/Repair,category='Negation/Repair' default_tab='core' but current ui_tab='more',,y
couldn't,Tier 1 - Phase I MVP,word,Negation/Repair,negation/repair,,more,override,Negation/Repair,category='Negation/Repair' default_tab='core' but current ui_tab='more',,y
food,Tier 1 - Phase I MVP,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,y
frustrated,Tier 1 - Phase I MVP,word,People/Pronouns/Possessives,descriptor/adjective,,feelings,error,Feelings,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,y
good,Tier 1 - Phase I MVP,word,Actions,descriptor/adjective,,core,error,Descriptors,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",describe,y
goodbye,Tier 1 - Phase I MVP,word,Actions,word,,core,review,Actions,POS='word' with cat='Actions' is ambiguous; manual review needed,actions,y
haven't,Tier 1 - Phase I MVP,word,Negation/Repair,negation/repair,,more,override,Negation/Repair,category='Negation/Repair' default_tab='core' but current ui_tab='more',,y
help,Tier 1 - Phase I MVP,word,Actions,verb/action,,core,override,Actions,category='Actions' default_tab='actions' but current ui_tab='core',actions,y
help me,Tier 1 - Phase I MVP,phrase,Actions,phrase,verb/action,core,override,Actions,category='Actions' default_tab='actions' but current ui_tab='core',actions,y
i need a break,Tier 1 - Phase I MVP,phrase,Actions,phrase,verb/action,core,override,Actions,category='Actions' default_tab='actions' but current ui_tab='core',actions,y
i need the bathroom,Tier 1 - Phase I MVP,phrase,Places,phrase,verb/action,core,error,Actions,POS='verb/action' requires category='Actions',actions,y
i want water,Tier 1 - Phase I MVP,phrase,Actions,phrase,verb/action,core,override,Actions,category='Actions' default_tab='actions' but current ui_tab='core',actions,y
know,Tier 1 - Phase I MVP,word,Negation/Repair,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,y
made,Tier 1 - Phase I MVP,word,Feelings,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,y
mine,Tier 1 - Phase I MVP,word,Places,pronoun/person,,people,error,People/Pronouns/Possessives,POS='pronoun/person' requires category='People/Pronouns/Possessives',,y
more,Tier 1 - Phase I MVP,word,Actions,word,,core,review,Actions,POS='word' with cat='Actions' is ambiguous; manual review needed,actions,y
need,Tier 1 - Phase I MVP,word,Uncategorized,verb/action,,core,error,Actions,POS='verb/action' requires category='Actions',actions,y
nervous,Tier 1 - Phase I MVP,word,People/Pronouns/Possessives,descriptor/adjective,,feelings,error,Feelings,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,y
