symbol_id,display_label,priority_tier,type,category_xls,ui_tab,meaning_room_anchors,current_pos,phrase_pos,collision_flags
close,Close,1,word,Actions,actions,actions,verb/action,,
feel,Feel,1,word,Actions,actions,actions,verb/action,,
go,Go,1,word,Actions,actions,actions;outside,verb/action,,
know,know,1,word,Actions,actions,actions,verb/action,,
made,made,1,word,Actions,actions,actions,verb/action,,
open,Open,1,word,Actions,actions,actions,verb/action,,
play,Play,1,word,Actions,actions,actions;toys,verb/action,,
turn,Turn,1,word,Actions,actions,actions,verb/action,,
break,Break,1,word,Actions,core,calm_corner,verb/action,,
different,different,1,word,Negation/Repair,core,stop_refusal,negation/repair,,
hello,Hello,1,word,Social,core,other_people,word,,
hi,Hi,1,word,Social,core,other_people,word,,
i_need_the_bathroom,I need the bathroom,1,phrase,Places,core,calm_corner,phrase,verb/action,
no,No,1,word,Negation/Repair,core,stop_refusal,negation/repair,,
not_that,Not that,1,phrase,Negation/Repair,core,stop_refusal,negation/repair,negation/repair,"pos-type-mismatch(type=phrase,pos=negation/repair)"
ok,OK,1,word,Social,core,actions,word,,
space,Space,1,word,Regulation/Safety,core,calm_corner,noun,,
stop,stop,1,word,Negation/Repair,core,stop_refusal,negation/repair,,
thank_you,Thank You,1,phrase,Social,core,actions,phrase,word,
too_loud,Too loud,1,phrase,Regulation/Safety,core,calm_corner,phrase,descriptor/adjective,
all_done,All done,1,phrase,Actions,core;actions,actions,phrase,verb/action,
goodbye,Goodbye,1,word,Social,core;actions,other_people,word,,
help,Help,1,word,Actions,core;actions,actions;calm_corner,verb/action,,
help_me,Help me,1,phrase,Actions,core;actions,calm_corner,phrase,verb/action,
i_need_a_break,I need a break,1,phrase,Actions,core;actions,calm_corner,phrase,verb/action,
i_want_water,I want water,1,phrase,Actions,core;actions,food_drink,phrase,verb/action,tab-anchor-mismatch(food_drink→expects:food)
more,More,1,word,Actions,core;actions,actions,word,,
need,need,1,word,Actions,core;actions,actions,verb/action,,
want,Want,1,word,Actions,core;actions,actions,verb/action,,
yes,Yes,1,word,Actions,core;actions,actions,word,,
