canonical_term,tier,type,current_category,part_of_speech,phrase_pos,ui_tab,bucket,proposed_category,rationale,secondary_tabs,approved
all done,Tier 1 - Phase I MVP,phrase,Actions,phrase,verb/action,core,override,Actions,category='Actions' default_tab='actions' but current ui_tab='core',actions,
aren't,Tier 1 - Phase I MVP,word,Negation/Repair,negation/repair,,more,override,Negation/Repair,category='Negation/Repair' default_tab='core' but current ui_tab='more',,
bad,Tier 1 - Phase I MVP,word,Social,descriptor/adjective,,feelings,error,Feelings,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
can't,Tier 1 - Phase I MVP,word,Negation/Repair,negation/repair,,more,override,Negation/Repair,category='Negation/Repair' default_tab='core' but current ui_tab='more',,
couldn't,Tier 1 - Phase I MVP,word,Negation/Repair,negation/repair,,more,override,Negation/Repair,category='Negation/Repair' default_tab='core' but current ui_tab='more',,
food,Tier 1 - Phase I MVP,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
frustrated,Tier 1 - Phase I MVP,word,People/Pronouns/Possessives,descriptor/adjective,,feelings,error,Feelings,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
good,Tier 1 - Phase I MVP,word,Actions,descriptor/adjective,,core,error,Descriptors,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",describe,
goodbye,Tier 1 - Phase I MVP,word,Actions,word,,core,error,Social,cat='Actions' (default_tab='actions') doesn't match ui_tab='core'; proposed 'Social' via anchor/keyword heuristic,,
haven't,Tier 1 - Phase I MVP,word,Negation/Repair,negation/repair,,more,override,Negation/Repair,category='Negation/Repair' default_tab='core' but current ui_tab='more',,
help,Tier 1 - Phase I MVP,word,Actions,verb/action,,core,override,Actions,category='Actions' default_tab='actions' but current ui_tab='core',actions,
help me,Tier 1 - Phase I MVP,phrase,Actions,phrase,verb/action,core,override,Actions,category='Actions' default_tab='actions' but current ui_tab='core',actions,
i need a break,Tier 1 - Phase I MVP,phrase,Actions,phrase,verb/action,core,override,Actions,category='Actions' default_tab='actions' but current ui_tab='core',actions,
i need the bathroom,Tier 1 - Phase I MVP,phrase,Places,phrase,verb/action,core,error,Actions,POS='verb/action' requires category='Actions',actions,
i want water,Tier 1 - Phase I MVP,phrase,Actions,phrase,verb/action,core,override,Actions,category='Actions' default_tab='actions' but current ui_tab='core',actions,
know,Tier 1 - Phase I MVP,word,Negation/Repair,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
made,Tier 1 - Phase I MVP,word,Feelings,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
mine,Tier 1 - Phase I MVP,word,Places,pronoun/person,,people,error,People/Pronouns/Possessives,POS='pronoun/person' requires category='People/Pronouns/Possessives',,
more,Tier 1 - Phase I MVP,word,Actions,word,,core,error,Social,cat='Actions' (default_tab='actions') doesn't match ui_tab='core'; proposed 'Social' via anchor/keyword heuristic,,
need,Tier 1 - Phase I MVP,word,Uncategorized,verb/action,,core,error,Actions,POS='verb/action' requires category='Actions',actions,
nervous,Tier 1 - Phase I MVP,word,People/Pronouns/Possessives,descriptor/adjective,,feelings,error,Feelings,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
not,Tier 1 - Phase I MVP,word,Negation/Repair,negation/repair,,more,override,Negation/Repair,category='Negation/Repair' default_tab='core' but current ui_tab='more',,
sick,Tier 1 - Phase I MVP,word,People/Pronouns/Possessives,descriptor/adjective,,feelings,error,Feelings,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
stop,Tier 1 - Phase I MVP,word,Actions,negation/repair,,core,error,Negation/Repair,POS='negation/repair' requires category='Negation/Repair',,
that,Tier 1 - Phase I MVP,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
tired,Tier 1 - Phase I MVP,word,Descriptors,descriptor/adjective,,feelings,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='feelings',,
want,Tier 1 - Phase I MVP,word,Actions,verb/action,,core,override,Actions,category='Actions' default_tab='actions' but current ui_tab='core',actions,
water,Tier 1 - Phase I MVP,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
won't,Tier 1 - Phase I MVP,word,Negation/Repair,negation/repair,,more,override,Negation/Repair,category='Negation/Repair' default_tab='core' but current ui_tab='more',,
yes,Tier 1 - Phase I MVP,word,Actions,word,,core,error,Social,cat='Actions' (default_tab='actions') doesn't match ui_tab='core'; proposed 'Social' via anchor/keyword heuristic,,
airplane,Tier 2 - Faison expansion,word,People/Pronouns/Possessives,noun,,things,error,Vehicles,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='things'; proposed 'Vehicles' via anchor/keyword heuristic,,
big,Tier 2 - Faison expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
black,Tier 2 - Faison expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
blue,Tier 2 - Faison expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
books,Tier 2 - Faison expansion,word,Social,noun,,things,error,Preferred Items,cat='Social' (default_tab='core') doesn't match ui_tab='things'; proposed 'Preferred Items' via anchor/keyword heuristic,,
bus,Tier 2 - Faison expansion,word,People/Pronouns/Possessives,noun,,things,error,Vehicles,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='things'; proposed 'Vehicles' via anchor/keyword heuristic,,
candy,Tier 2 - Faison expansion,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
carrot,Tier 2 - Faison expansion,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
chips,Tier 2 - Faison expansion,word,Social,noun,,things,error,Food/Drink,cat='Social' (default_tab='core') doesn't match ui_tab='things'; proposed 'Food/Drink' via anchor/keyword heuristic,,
cookie,Tier 2 - Faison expansion,word,Social,noun,,things,error,Food/Drink,cat='Social' (default_tab='core') doesn't match ui_tab='things'; proposed 'Food/Drink' via anchor/keyword heuristic,,
dog,Tier 2 - Faison expansion,word,Actions,noun,,things,error,Preferred Items,cat='Actions' (default_tab='actions') doesn't match ui_tab='things'; proposed 'Preferred Items' via anchor/keyword heuristic,,
doll,Tier 2 - Faison expansion,word,Actions,noun,,things,error,Preferred Items,cat='Actions' (default_tab='actions') doesn't match ui_tab='things'; proposed 'Preferred Items' via anchor/keyword heuristic,,
down,Tier 2 - Faison expansion,word,Actions,location/preposition,,more,error,Descriptors,cat='Actions' (default_tab='actions') doesn't match ui_tab='more'; proposed 'Descriptors' via anchor/keyword heuristic,,
fast,Tier 2 - Faison expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
fine,Tier 2 - Faison expansion,word,Places,descriptor/adjective,,feelings,error,Feelings,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
fruit,Tier 2 - Faison expansion,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
green,Tier 2 - Faison expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
i am tired,Tier 2 - Faison expansion,phrase,Descriptors,phrase,descriptor/adjective,feelings,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='feelings',,
i found something,Tier 2 - Faison expansion,phrase,Places,phrase,verb/action,actions,error,Actions,POS='verb/action' requires category='Actions',,
i'm frustrated,Tier 2 - Faison expansion,phrase,People/Pronouns/Possessives,phrase,descriptor/adjective,feelings,override,People/Pronouns/Possessives,category='People/Pronouns/Possessives' default_tab='people' but current ui_tab='feelings',,
in,Tier 2 - Faison expansion,word,Places,location/preposition,,more,error,Descriptors,cat='Places' (default_tab='things') doesn't match ui_tab='more'; proposed 'Descriptors' via anchor/keyword heuristic,,
juice,Tier 2 - Faison expansion,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
little,Tier 2 - Faison expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
no / i don't want that,Tier 2 - Faison expansion,phrase,Actions,phrase,negation/repair,actions,error,Negation/Repair,POS='negation/repair' requires category='Negation/Repair',,
off,Tier 2 - Faison expansion,word,Places,location/preposition,,more,error,Descriptors,cat='Places' (default_tab='things') doesn't match ui_tab='more'; proposed 'Descriptors' via anchor/keyword heuristic,,
ok/fine,Tier 2 - Faison expansion,phrase,Places,phrase,word,core,error,Social,cat='Places' (default_tab='things') doesn't match ui_tab='core'; proposed 'Social' via anchor/keyword heuristic,,
one more minute,Tier 2 - Faison expansion,phrase,Actions,phrase,noun,more,error,Regulation/Safety,cat='Actions' (default_tab='actions') doesn't match ui_tab='more'; proposed 'Regulation/Safety' via anchor/keyword heuristic,,
orange,Tier 2 - Faison expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
out,Tier 2 - Faison expansion,word,Places,location/preposition,,more,error,Descriptors,cat='Places' (default_tab='things') doesn't match ui_tab='more'; proposed 'Descriptors' via anchor/keyword heuristic,,
pink,Tier 2 - Faison expansion,word,Places,descriptor/adjective,,more,error,Descriptors,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
playground,Tier 2 - Faison expansion,word,Actions,noun,,things,error,Places,cat='Actions' (default_tab='actions') doesn't match ui_tab='things'; proposed 'Places' via anchor/keyword heuristic,,
